,Breed,Img_Link
15,Australian-Cattle-Dog,https://www.akc.org/wp-content/uploads/2017/11/Australian-Cattle-Dog-laying-down-in-the-grass.jpg
16,Australian-Kelpie,https://www.akc.org/wp-content/uploads/2017/11/Australian-Kelpie-herding-sheep.jpg
17,Australian-Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Australian-Shepherd.1.jpg
18,Australian-Stumpy-Tail-Cattle-Dog,https://www.akc.org/wp-content/uploads/2018/07/Australian-Stumpy-Tail-Cattle-Dog-Slideshow-04.jpg
19,Australian-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Australian-Terrier-standing-in-the-garden.jpg
20,Azawakh,https://www.akc.org/wp-content/uploads/2017/11/Azawakh_178091272.jpg
21,Barbet,https://www.akc.org/wp-content/uploads/2017/11/Barbet-standing-in-the-snow.jpg
22,Basenji,https://www.akc.org/wp-content/uploads/2017/11/Basenji-running-through-a-field.jpg
23,Basset-Fauve-de-Bretagne,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_23183632.jpg
24,Basset-Hound,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07200501/Basset-Hound-standing-in-the-garden.jpg
25,Bavarian-Mountain-Scent-Hound,https://www.akc.org/wp-content/uploads/2017/11/Bavarian.190758538.jpg
26,Beagle,https://www.akc.org/wp-content/uploads/2017/11/Beagles-standing-in-a-frosty-field-on-a-cold-morning.jpg
27,Bearded-Collie,https://www.akc.org/wp-content/uploads/2017/11/Bearded-Collie-standing-in-the-grass.jpg
28,Beauceron,https://www.akc.org/wp-content/uploads/2017/11/Beauceron-On-White-03.jpg
29,Bedlington-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Bedlington-Terrier-standing-outdoors.jpg
30,Belgian-Laekenois,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07122515/Belgian-Laekenois-standing-in-profile-in-a-field.jpg
31,Belgian-Malinois,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Malinois-On-White-01.jpg
32,Belgian-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Sheepdog-standing-in-a-field.jpg
33,Belgian-Tervuren,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Tervuren.3.jpg
34,Bergamasco-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Bergamasco-Sheepdog-standing-in-a-field-in-the-mountains.jpg
35,Berger-Picard,https://www.akc.org/wp-content/uploads/2017/11/Berger-Picard-standing-in-a-field.jpg
36,Bernese-Mountain-Dog,https://www.akc.org/wp-content/uploads/2017/11/Bernese-Mountain-Dog-On-White-01.jpg
37,Bichon-Frise,https://www.akc.org/wp-content/uploads/2017/11/Bichon-Frise-On-White-03.jpg
38,Biewer-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Biewer-Terrier-standing-on-a-white-background.jpg
39,Black-and-Tan-Coonhound,https://www.akc.org/wp-content/uploads/2017/11/Black-and-Tan-Coonhound-On-White-031.jpg
40,Black-Russian-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Black-Russian-Terrier-standing-outdoors.jpg
41,Bloodhound,https://www.akc.org/wp-content/uploads/2017/11/Bloodhound-on-a-scent-in-the-woods.jpg
42,Bluetick-Coonhound,https://www.akc.org/wp-content/uploads/2017/11/Bluetick-Coonhound.jpg
43,Boerboel,https://www.akc.org/wp-content/uploads/2017/11/Boerboel-On-White-01.jpg
44,Bohemian-Shepherd,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/22143655/Bohemian-Shepherd-standing-in-profile-in-a-field-of-tall-brown-grasses.jpg
45,Bolognese,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_71665389.jpg
46,Border-Collie,https://www.akc.org/wp-content/uploads/2017/11/Border-Collie-On-White-01.jpg
47,Border-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Border-Terrier-On-White-03.jpg
48,Borzoi,https://www.akc.org/wp-content/uploads/2017/11/Borzoi-running-outdoors.jpg
49,Boston-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Boston-Terrier-On-White-03.jpg
50,Bouvier-des-Flandres,https://www.akc.org/wp-content/uploads/2017/11/Bouvier-des-Flandres-standing-atop-a-hill.jpg
51,Boxer,https://www.akc.org/wp-content/uploads/2017/11/Boxer.1.jpg
52,Boykin-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Boykin-Spaniel-holding-a-dummy-toy.jpg
53,Bracco-Italiano,https://www.akc.org/wp-content/uploads/2017/11/Bracco.7.jpg
54,Braque-du-Bourbonnais,https://www.akc.org/wp-content/uploads/2017/11/Bourbonnais.jpg
55,Braque-Francais-Pyrenean,https://www.akc.org/wp-content/uploads/2017/11/Braque-Francais-Pyrenean.jpg
56,Briard,https://www.akc.org/wp-content/uploads/2017/11/Briard-standing-in-the-grass.jpg
57,Brittany,https://www.akc.org/wp-content/uploads/2017/11/Brittany-1.jpg
58,Broholmer,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11110117/Broholmer-laying-down-in-the-park.jpg
59,Brussels-Griffon,https://www.akc.org/wp-content/uploads/2017/11/Brussels-Griffon-sitting-outdoors.jpg
60,Bull-Terrier,https://www.akc.org/wp-content/uploads/2017/11/bull-terrier-on-white-10.jpg
61,Bulldog,https://www.akc.org/wp-content/uploads/2017/11/Bulldog-standing-in-the-grass.jpg
62,Bullmastiff,https://www.akc.org/wp-content/uploads/2017/11/Bullmastiff-standing-in-a-field.jpg
63,Cairn-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Cairn-Terrier-sitting-in-the-grass.jpg
64,Canaan-Dog,https://www.akc.org/wp-content/uploads/2017/11/Canaan-Dog-On-White-01.jpg
65,Cane-Corso,https://www.akc.org/wp-content/uploads/2017/11/Cane-Corso-AKC-121516-296.jpg
66,Cardigan-Welsh-Corgi,https://www.akc.org/wp-content/uploads/2017/11/Cardigan-Welsh-Corgi-on-White-111.jpg
67,Carolina-Dog,https://www.akc.org/wp-content/uploads/2017/11/Carolina-Dog-standing-outdoors.jpg
68,Catahoula-Leopard-Dog,https://www.akc.org/wp-content/uploads/2017/11/Catahoula-Leopard-Dog-on-White-02.jpg
69,Caucasian-Shepherd-Dog,https://www.akc.org/wp-content/uploads/2017/11/GettyImages-1095398138.jpg
70,Cavalier-King-Charles-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Cavalier-King-Charles-Spaniel-standing-in-the-grass.jpg
71,Central-Asian-Shepherd-Dog,https://www.akc.org/wp-content/uploads/2017/11/Central-Asian-Shepherd-Dog-on-White-02.jpg
72,Cesky-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Cesky-Terrier-on-White-011.jpg
73,Chesapeake-Bay-Retriever,https://www.akc.org/wp-content/uploads/2017/11/Chesapeake-Bay-Retriever-hunting.jpg
74,Chihuahua,https://www.akc.org/wp-content/uploads/2017/11/Chihuahua-standing-in-three-quarter-view.jpg
75,Chinese-Crested,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Crested-On-White-01.jpg
76,Chinese-Shar-Pei,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Shar-Pei-standing-on-the-sidewalk.jpg
77,Chinook,https://www.akc.org/wp-content/uploads/2017/11/Chinook-On-White-03.jpg
78,Chow-Chow,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-On-White-01.jpg
79,Cirneco-dell’Etna,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-On-White-01.jpg
80,Clumber-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Clumber-Spaniel-On-White-011.jpg
81,Cocker-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Cocker-Spaniel-running-in-the-yard.jpg
82,Collie,https://www.akc.org/wp-content/uploads/2017/11/Collie-standing-in-a-field.jpg
83,Coton-de-Tulear,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20175536/Coton-de-Tulear-standing-in-the-grass.jpg
84,Croatian-Sheepdog,https://www.akc.org/wp-content/uploads/2018/05/Croatian-Sheepdog.jpg
85,Curly-Coated-Retriever,https://www.akc.org/wp-content/uploads/2017/11/Curly-Coated-Retriever-standing-stacked-in-a-field-at-sunset.20200418030641387.jpg
86,Czechoslovakian-Vlcak,https://www.akc.org/wp-content/uploads/2017/11/Czechoslovakian-Vlcak.179296809.jpg
87,Dachshund,https://www.akc.org/wp-content/uploads/2017/11/Longhaired-Dachshund-standing-outdoors.jpg
88,Dalmatian,https://www.akc.org/wp-content/uploads/2017/11/Dalmatian-On-White-01.jpg
89,Dandie-Dinmont-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Dandie-Dinmont-Terrier-slide-6.jpg
90,Danish-Swedish-Farmdog,https://www.akc.org/wp-content/uploads/2017/11/Danish-Swedish-Farmdog-standing-outdoors-at-dusk.jpg
91,Deutscher-Wachtelhund,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_1083293871.jpg
92,Doberman-Pinscher,https://www.akc.org/wp-content/uploads/2017/11/Doberman-Pinscher-standing-outdoors.jpg
93,Dogo-Argentino,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino.jpg
94,Dogue-de-Bordeaux,https://www.akc.org/wp-content/uploads/2017/11/Dogue-de-Bordeaux-On-White-03.jpg
95,Drentsche-Patrijshond,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12123647/Drentsche-Patrijshond-standing-in-a-field.jpg
96,Drever,https://www.akc.org/wp-content/uploads/2017/11/Drever-face.jpg
97,Dutch-Shepherd,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16172653/Dutch-Shepherd-in-a-field.jpg
98,English-Cocker-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/English-Cocker-Spaniel-Slide03.jpg
99,English-Foxhound,https://www.akc.org/wp-content/uploads/2017/11/English-Foxhound-standing-in-a-field.jpg
100,English-Setter,https://www.akc.org/wp-content/uploads/2017/11/English-Setter-standing-in-a-field.jpg
101,English-Springer-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/English-Springer-Spaniel-On-White-011.jpg
102,English-Toy-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/English-Toy-Spaniel-On-White-01.jpg
103,Entlebucher-Mountain-Dog,https://www.akc.org/wp-content/uploads/2017/11/Entlebucher-Mountain-Dog-outdoors-standing-in-a-field.jpg
104,Estrela-Mountain-Dog,https://www.akc.org/wp-content/uploads/2017/11/Beau.jpg
105,Eurasier,https://www.akc.org/wp-content/uploads/2017/11/Eurasier.1.jpg
106,Field-Spaniel,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10115409/Field-Spaniels-of-different-colors-sitting-together-outdoors.jpg
107,Finnish-Lapphund,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Lapphund-lying-on-a-snow-covered-road.jpg
108,Finnish-Spitz,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Spitz-On-White-01.jpg
109,Flat-Coated-Retriever,https://www.akc.org/wp-content/uploads/2017/11/Flat-Coated-Retrievers-sitting-outdoors.jpg
110,French-Bulldog,https://www.akc.org/wp-content/uploads/2017/11/French-Bulldog-standing-outdoors.jpg
111,French-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/French-Spaniel-Gallery-01.jpg
112,German-Longhaired-Pointer,https://www.akc.org/wp-content/uploads/2017/11/German-Longhaired-Pointer-on-White-01.jpg
113,German-Pinscher,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20183655/German-Pinscher-standing-near-a-lake.jpg
114,German-Shepherd-Dog,https://www.akc.org/wp-content/uploads/2017/11/German-Shepherd-on-White-00.jpg
115,German-Shorthaired-Pointer,https://www.akc.org/wp-content/uploads/2017/11/German-Shorthaired-Pointer-On-White-07.jpg
116,German-Spitz,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24152054/German-Spitz-standing-in-profile-outdoors.jpg
117,German-Wirehaired-Pointer,https://www.akc.org/wp-content/uploads/2017/11/German-Wirehaired-Pointer-standing-in-a-green-grassy-field.jpg
118,Giant-Schnauzer,https://www.akc.org/wp-content/uploads/2017/11/Giant-Schanuzer-standing-in-a-field.jpg
119,Glen-of-Imaal-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Glen-of-Imaal-Terrier-On-White-01.jpg
120,Golden-Retriever,https://www.akc.org/wp-content/uploads/2017/11/Golden-Retriever-wading-into-a-lake.jpg
121,Gordon-Setter,https://www.akc.org/wp-content/uploads/2017/11/Gordon-Setter.3.jpg
122,Grand-Basset-Griffon-Vendéen,https://www.akc.org/wp-content/uploads/2017/11/Gordon-Setter.3.jpg
123,Great-Dane,https://www.akc.org/wp-content/uploads/2017/11/Great-Dane-On-White-01.jpg
124,Great-Pyrenees,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-on-White-04.jpg
125,Greater-Swiss-Mountain-Dog,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dog-laying-down-in-the-grass.jpg
126,Greyhound,https://www.akc.org/wp-content/uploads/2017/11/Greyhound-running.jpg
127,Hamiltonstovare,https://www.akc.org/wp-content/uploads/2017/11/Hamiltonstovare-on-White-011.jpg
128,Hanoverian-Scenthound,https://www.akc.org/wp-content/uploads/2017/11/Hanoverian-Scenthound.1.jpg
129,Harrier,https://www.akc.org/wp-content/uploads/2017/11/Harrier3.jpg
130,Havanese,https://www.akc.org/wp-content/uploads/2017/11/Havanese-standing-outdoors.jpg
131,Hokkaido,https://www.akc.org/wp-content/uploads/2017/11/Hokkaido.1.jpg
132,Hovawart,https://www.akc.org/wp-content/uploads/2017/11/Hovawart.10.jpg
133,Ibizan-Hound,https://www.akc.org/wp-content/uploads/2017/11/Ibizan-Hound-sitting-in-profile-in-the-desert.jpg
134,Icelandic-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Icelandic-Sitting.jpg
135,Irish-Red-and-White-Setter,https://www.akc.org/wp-content/uploads/2017/11/Irish-Red-and-White-Setter-stalking-in-a-field.jpg
136,Irish-Setter,https://www.akc.org/wp-content/uploads/2017/11/Irish-Setter-on-point-in-a-field.jpg
137,Irish-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Irish-Terriers-sitting-together.jpg
138,Irish-Water-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Irish-Water-Spaniel-On-White-01.jpg
139,Irish-Wolfhound,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhound-standing-in-a-field.jpg
140,Italian-Greyhound,https://www.akc.org/wp-content/uploads/2017/11/Two-Italian-Greyhounds.jpg
141,Jagdterrier,https://www.akc.org/wp-content/uploads/2017/11/Jagdterrier.4.jpg
142,Japanese-Chin,https://www.akc.org/wp-content/uploads/2017/11/Japanese-Chin-standing-outdoors.jpg
143,Japanese-Spitz,https://www.akc.org/wp-content/uploads/2019/06/Japanese-Spitz.4.jpg
144,Jindo,https://www.akc.org/wp-content/uploads/2017/11/Jindo-standing-in-the-yard.jpg
145,Kai-Ken,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04173549/Kai-Ken-standing-in-profile-outdoors.jpg
146,Karelian-Bear-Dog,https://www.akc.org/wp-content/uploads/2017/11/Karelian-Bear-Dog.jpg
147,Keeshond,https://www.akc.org/wp-content/uploads/2017/11/Keeshond-exploring-in-the-backyard.jpg
148,Kerry-Blue-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Kerry-Blue-Terrier-standing-stacked-outdoors.jpg
149,Kishu-Ken,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29120141/Kishu-Ken-standing-in-the-brush-at-sunset.jpg
150,Komondor,https://www.akc.org/wp-content/uploads/2017/11/Komondor-standing-in-the-park.jpg
151,Kromfohrlander,https://www.akc.org/wp-content/uploads/2017/11/Kromfohrlander.6.jpg
152,Kuvasz,https://www.akc.org/wp-content/uploads/2017/11/Kuvasz-standing-outdoors.jpg
153,Labrador-Retriever,https://www.akc.org/wp-content/uploads/2017/11/Labrador-Retrievers-three-colors.jpg
154,Lagotto-Romagnolo,https://www.akc.org/wp-content/uploads/2017/11/Lagotto-Romagnolo-standing-by-a-pond.jpg
155,Lakeland-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Lakeland-Terrier-standing-stacked-outdoors.jpg
156,Lancashire-Heeler,https://www.akc.org/wp-content/uploads/2017/11/Lancashire-heeler.1.jpg
157,Lapponian-Herder,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31115114/Lapponian-Herders-standing-together-in-the-shallows.jpg
158,Leonberger,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-standing-in-a-field.jpg
159,Lhasa-Apso,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-On-White-01.jpg
160,Löwchen,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-On-White-01.jpg
161,Maltese,https://www.akc.org/wp-content/uploads/2017/11/Maltese-laying-down-in-a-chair.jpg
162,Manchester-Terrier-(Standard),https://www.akc.org/wp-content/uploads/2017/11/Manchester-Terrier-Standard-on-White-08.jpg
163,Manchester-Terrier-(Toy),https://www.akc.org/wp-content/uploads/2018/04/Manchester-Terrier-Slide-01.jpg
164,Mastiff,https://www.akc.org/wp-content/uploads/2017/11/Mastiff-On-White-03.jpg
165,Miniature-American-Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Miniature-American-Shepherd-On-White-01.jpg
166,Miniature-Bull-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Bull-Terrier-standing-outdoors.jpg
167,Miniature-Pinscher,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-standing-in-three-quarter-view.jpg
168,Miniature-Schnauzer,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Schnauzer-On-White-01.jpg
169,Mountain-Cur,https://www.akc.org/wp-content/uploads/2017/11/Mountain-Cur-MP.jpg
170,Mudi,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03140458/Mudi-sitting-outdoors.jpg
171,Neapolitan-Mastiff,https://www.akc.org/wp-content/uploads/2009/01/Neapolitan-Mastiff-on-lead-standing-in-the-grass-outdoors.20190813025752970.jpg
172,Nederlandse-Kooikerhondje,https://www.akc.org/wp-content/uploads/2018/01/Nederlandse-Kooikerhondje-Field.jpg
173,Newfoundland,https://www.akc.org/wp-content/uploads/2017/11/Newfoundland-standing-outdoors.jpg
174,Norfolk-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Norfolk-Terrier-sitting-in-the-grass.1.jpg
175,Norrbottenspets,https://www.akc.org/wp-content/uploads/2017/11/Norrbottenspets-On-White-01.jpg
176,Norwegian-Buhund,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Buhund-On-White-01.jpg
177,Norwegian-Elkhound,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-sitting-in-the-snow-looking-back-over-its-shoulder.jpg
178,Norwegian-Lundehund,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08125010/Norwegian-Lundehund-standing-in-the-grass.jpg
179,Norwich-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Norwich-Terrier-standing-outdoors.jpg
180,Nova-Scotia-Duck-Tolling-Retriever,https://www.akc.org/wp-content/uploads/2017/11/Nova-Scotia-Duck-Tolling-Retriever-slide1.jpg
181,Old-English-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Old-English-Sheepdogs-on-white-02.jpg
182,Otterhound,https://www.akc.org/wp-content/uploads/2017/11/Otterhound-On-White-03.jpg
183,Papillon,https://www.akc.org/wp-content/uploads/2017/11/Papillon-On-White-01.jpg
184,Parson-Russell-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Parson-Russell-Terrier-standing-in-three-quarter-view-on-a-white-background.jpg
185,Pekingese,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-standing-in-the-grass.jpg
186,Pembroke-Welsh-Corgi,https://www.akc.org/wp-content/uploads/2017/11/Pembroke-Welsh-Corgi-standing-outdoors-in-the-fall.jpg
187,Perro-de-Presa-Canario,https://www.akc.org/wp-content/uploads/2017/11/Perro-de-Presa-Canario.1.jpg
188,Peruvian-Inca-Orchid,https://www.akc.org/wp-content/uploads/2017/11/Peruvian-Inca-Orchid-04.jpg
189,Petit-Basset-Griffon-Vendéen,https://www.akc.org/wp-content/uploads/2017/11/Peruvian-Inca-Orchid-04.jpg
190,Pharaoh-Hound,https://www.akc.org/wp-content/uploads/2017/11/Pharaoh-Hound-laying-down-in-profile.jpg
191,Plott-Hound,https://www.akc.org/wp-content/uploads/2017/11/IMG_8947.jpg
192,Pointer,https://www.akc.org/wp-content/uploads/2017/11/Pointer.4.jpg
193,Polish-Lowland-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Polish-Lowland-Sheepdog-On-White-02.jpg
194,Pomeranian,https://www.akc.org/wp-content/uploads/2017/11/Pomeranian-On-White-01.jpg
195,Poodle-(Miniature),https://www.akc.org/wp-content/uploads/2017/11/Poodle-On-White-01.jpg
196,Poodle-(Standard),https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24134701/Standard-Poodle-standing-outdoors-at-the-beach.jpg
197,Poodle-(Toy),https://www.akc.org/wp-content/uploads/2018/04/Toy-Poodle-on-White-02.jpg
198,Porcelaine,https://www.akc.org/wp-content/uploads/2017/11/Porcelaine.4.jpg
199,Portuguese-Podengo,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Podengo-standing-in-three-quarter-view.jpg
200,Portuguese-Podengo-Pequeno,https://www.akc.org/wp-content/uploads/2017/11/PPP-on-white.jpg
201,Portuguese-Pointer,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Pointer-on-White-01-1.jpg
202,Portuguese-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Black-Portuguese-Sheepdog-standing-outdoors-in-the-grass.jpg
203,Portuguese-Water-Dog,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Water-Dog-standing-in-profile-outdoors.jpg
204,Pudelpointer,https://www.akc.org/wp-content/uploads/2017/11/Pudelpointer-standing-in-a-field.jpg
205,Pug,https://www.akc.org/wp-content/uploads/2017/11/Pug-On-White-01.jpg
206,Puli,https://www.akc.org/wp-content/uploads/2017/11/Puli-sitting-in-a-field.jpg
207,Pumi,https://www.akc.org/wp-content/uploads/2017/11/Pumi-standing-outdoors-in-the-countryside.jpg
208,Pyrenean-Mastiff,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Mastiff-On-White-01.jpg
209,Pyrenean-Shepherd,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Shepherd-standing-in-profile-in-a-field.jpg
210,Rafeiro-do-Alentejo,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20180609/Rafeiro-do-Alentejo-standing-outdoors-in-a-field-1.jpg
211,Rat-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-On-White-01.jpg
212,Redbone-Coonhound,https://www.akc.org/wp-content/uploads/2017/11/Redbone-Coonhound-wading-through-water.jpg
213,Rhodesian-Ridgeback,https://www.akc.org/wp-content/uploads/2017/11/Rhodesian-Ridgeback-standing-in-profile-outdoors.jpg
214,Romanian-Mioritic-Shepherd-Dog,https://www.akc.org/wp-content/uploads/2018/07/Romanian-Mioritic-Shepherd-Dog-laying-in-a-field-in-a-mountainous-landscape.jpg
215,Rottweiler,https://www.akc.org/wp-content/uploads/2017/11/Rottweiler-On-White-10.jpg
216,Russell-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-On-White-03.jpg
217,Russian-Toy,https://www.akc.org/wp-content/uploads/2017/11/Russian-Toy.4.jpg
218,Russian-Tsvetnaya-Bolonka,https://www.akc.org/wp-content/uploads/2017/11/Russian-Tsvetnaya-Bolonka-standing-on-a-white-background.jpg
219,Saint-Bernard,https://www.akc.org/wp-content/uploads/2017/11/Saint-Bernard-On-White-01.jpg
220,Saluki,https://www.akc.org/wp-content/uploads/2017/11/AKC-121716-139.jpg
221,Samoyed,https://www.akc.org/wp-content/uploads/2017/11/Samoyed-standing-in-the-forest.jpg
222,Schapendoes,https://www.akc.org/wp-content/uploads/2017/11/Schapendoes-On-White-01.jpg
223,Schipperke,https://www.akc.org/wp-content/uploads/2017/11/Schipperke-On-White-01.jpg
224,Scottish-Deerhound,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Deerhound-standing-in-the-woods.jpg
225,Scottish-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Terrier-On-White-02.jpg
226,Sealyham-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Sealyham-Terrier-standing-in-three-quarter-view.1.jpg
227,Segugio-Italiano,https://www.akc.org/wp-content/uploads/2018/08/Segugio-Italiano-slideshow-08.jpg
228,Shetland-Sheepdog,https://www.akc.org/wp-content/uploads/2017/11/Shetland-Sheepdog-On-White-01.jpg
229,Shiba-Inu,https://www.akc.org/wp-content/uploads/2017/11/Shiba-Inu-standing-in-profile-outdoors.jpg
230,Shih-Tzu,https://www.akc.org/wp-content/uploads/2017/11/Shih-Tzu-On-White-01.jpg
231,Shikoku,https://www.akc.org/wp-content/uploads/2017/11/Shikoku-standing-outdoors.jpg
232,Siberian-Husky,https://www.akc.org/wp-content/uploads/2017/11/Siberian-Husky-standing-outdoors-in-the-winter.jpg
233,Silky-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Silky-Terrier-On-White-01.jpg
