Breed,Ranking,Height (min),Height (max),Weight (min),Weight (max),Lifespan (min),Lifespan (max),Breed Group,Grooming Frequency (value),Shedding (value),Energy Level (value),Trainability (value),Demeanor (value)
Slovensky Cuvac,0.0,23.0,28.0,68.0,97.0,11.0,13.0,Foundation Stock Service,0.4,0.8,0.4,0.4,0.2
Slovensky Kopov,0.0,16.0,20.0,33.0,44.0,12.0,13.0,Foundation Stock Service,0.2,0.6,0.6,1.0,0.6
Small Munsterlander Pointer,0.0,20.0,21.0,40.0,60.0,12.0,14.0,Foundation Stock Service,0.2,0.6,1.0,0.6,0.8
Smooth Fox Terrier,123.0,15.0,16.0,15.0,18.0,12.0,15.0,Terrier Group,0.4,0.4,0.8,0.6,0.8
Soft Coated Wheaten Terrier,53.0,17.0,19.0,30.0,40.0,12.0,14.0,Terrier Group,0.6,0.2,0.8,0.4,0.6
Spanish Mastiff,0.0,28.0,35.0,110.0,220.0,10.0,12.0,Foundation Stock Service,0.4,0.6,0.4,0.2,0.8
Spanish Water Dog,153.0,15.0,20.0,31.0,49.0,12.0,14.0,Herding Group,1.0,0.2,0.8,1.0,0.4
Spinone Italiano,109.0,22.0,27.0,45.0,70.0,10.0,12.0,Sporting Group,0.4,0.8,0.8,0.6,0.6
Stabyhoun,0.0,19.0,21.0,40.0,60.0,13.0,15.0,Foundation Stock Service,0.2,0.6,0.8,0.8,0.6
Staffordshire Bull Terrier,80.0,14.0,16.0,24.0,38.0,12.0,14.0,Terrier Group,0.4,0.4,0.8,0.2,0.8
Standard Schnauzer,89.0,17.0,20.0,30.0,45.0,13.0,16.0,Working Group,0.6,0.2,0.6,0.4,0.8
Sussex Spaniel,180.0,13.0,15.0,35.0,45.0,13.0,15.0,Sporting Group,0.6,0.6,0.6,0.4,0.4
Swedish Lapphund,0.0,16.0,20.0,30.0,45.0,12.0,14.0,Foundation Stock Service,0.4,0.6,0.6,0.2,0.6
Swedish Vallhund,169.0,11.0,14.0,20.0,35.0,12.0,15.0,Herding Group,0.2,0.6,1.0,1.0,0.8
Taiwan Dog,0.0,17.0,20.0,26.0,40.0,9.0,13.0,Foundation Stock Service,0.4,0.6,1.0,0.8,0.4
Teddy Roosevelt Terrier,0.0,8.0,14.0,8.0,25.0,14.0,16.0,Miscellaneous Class,0.4,0.6,0.8,1.0,0.8
Thai Ridgeback,0.0,20.0,24.0,35.0,75.0,12.0,13.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4
Tibetan Mastiff,131.0,24.0,26.0,70.0,150.0,10.0,12.0,Working Group,0.6,0.6,0.6,0.4,0.6
Tibetan Spaniel,119.0,10.0,10.0,9.0,15.0,12.0,15.0,Non-Sporting Group,0.4,0.6,0.4,0.6,0.6
Tibetan Terrier,96.0,15.0,16.0,18.0,30.0,15.0,16.0,Non-Sporting Group,0.6,0.6,0.8,0.4,0.4
Tornjak,0.0,23.0,28.0,62.0,110.0,12.0,14.0,Foundation Stock Service,0.6,0.8,0.4,0.8,0.6
Tosa,0.0,21.0,24.0,100.0,200.0,10.0,12.0,Foundation Stock Service,0.2,0.4,0.4,0.6,0.4
Toy Fox Terrier,111.0,10.0,10.0,3.0,7.0,13.0,15.0,Toy Group,0.4,0.4,0.8,1.0,0.8
Transylvanian Hound,0.0,22.0,26.0,55.0,77.0,10.0,14.0,Foundation Stock Service,0.4,0.8,1.0,0.2,0.8
Treeing Tennessee Brindle,0.0,16.0,24.0,30.0,50.0,10.0,12.0,Foundation Stock Service,0.4,0.4,0.6,0.4,0.6
Treeing Walker Coonhound,137.0,20.0,27.0,50.0,70.0,12.0,13.0,Hound Group,0.2,0.6,0.6,0.4,0.8
Vizsla,31.0,21.0,24.0,40.0,60.0,12.0,14.0,Sporting Group,0.4,0.6,0.8,1.0,0.8
Weimaraner,36.0,23.0,27.0,50.0,70.0,10.0,13.0,Sporting Group,0.4,0.6,1.0,1.0,0.8
Welsh Springer Spaniel,128.0,17.0,19.0,35.0,55.0,12.0,15.0,Sporting Group,0.4,0.6,0.8,0.8,0.8
Welsh Terrier,107.0,15.0,16.0,20.0,20.0,12.0,15.0,Terrier Group,0.6,0.4,0.8,0.6,1.0
West Highland White Terrier,42.0,10.0,11.0,13.0,22.0,13.0,15.0,Terrier Group,0.8,0.6,0.6,0.6,0.8
Wetterhoun,0.0,21.0,23.0,50.0,75.0,13.0,13.0,Foundation Stock Service,0.2,0.4,0.6,0.2,0.4
Whippet,61.0,18.0,22.0,18.0,28.0,12.0,15.0,Hound Group,0.2,0.4,0.6,0.4,0.4
Wire Fox Terrier,101.0,15.0,16.0,15.0,18.0,12.0,15.0,Terrier Group,0.4,0.2,0.6,0.6,0.6
Wirehaired Pointing Griffon,65.0,19.0,23.0,50.0,60.0,12.0,15.0,Sporting Group,0.4,0.6,1.0,0.6,0.6
Wirehaired Vizsla,167.0,13.0,13.0,45.0,65.0,12.0,14.0,Sporting Group,0.2,0.6,0.8,0.6,0.6
Working Kelpie,0.0,19.0,25.0,28.0,60.0,12.0,15.0,Foundation Stock Service,0.2,0.6,0.8,0.4,0.6
Xoloitzcuintli,140.0,13.0,23.0,13.0,31.0,13.0,18.0,Non-Sporting Group,0.2,0.2,0.8,0.6,0.6
Yakutian Laika,0.0,21.0,23.0,40.0,55.0,10.0,12.0,Foundation Stock Service,0.4,0.6,0.8,0.2,0.4
Yorkshire Terrier,10.0,7.0,8.0,7.0,7.0,11.0,15.0,Toy Group,1.0,0.2,0.6,0.2,0.8
